Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
56,944,66,Jun 11,MIN,@,TOR,L6-7,CG,5,4,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,.217,.304,.406,.710,4,1.19,-0.013,1.13,-0.01%,1.01,16.00,21.40,SS
57,945,67,Jun 13,MIN,,MIL,W7-5,CG,5,5,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,.217,.302,.415,.717,3,1.76,0.160,1.61,0.09%,0.63,18.00,25.70,SS
58,946,68,Jun 14,MIN,,MIL,W4-2,CG,4,3,1,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,.218,.305,.423,.728,4,.91,0.185,.84,0.10%,1.78,16.00,22.20,SS
59,947,69,Jun 15,MIN,,DET,L4-8,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,.219,.304,.424,.728,2,1.23,-0.126,1.32,-0.08%,-0.65,5.00,6.00,SS
60,948,70,Jun 16,MIN,,DET,L1-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.215,.300,.417,.716,2,.55,-0.057,.60,-0.04%,-0.87,0.00,0.00,SS
61,949,71,Jun 17,MIN,,DET,W2-0,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.211,.295,.409,.705,3,.42,-0.044,.47,-0.03%,-0.77,0.00,0.00,SS
62,950,72,Jun 18,MIN,,DET,L4-6,CG,4,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.217,.302,.413,.715,4,1.19,0.112,1.36,0.08%,0.73,8.00,9.00,SS
63,951,73,Jun 19,MIN,,BOS,L3-9,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.218,.301,.410,.711,4,.68,-0.086,.62,-0.05%,-0.68,3.00,3.00,SS
64,952,74,Jun 20,MIN,,BOS,L4-10,GS-8,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.219,.301,.409,.711,2,1.09,-0.042,.98,-0.02%,-0.33,3.00,3.00,SS
65,953,75,Jun 21,MIN,,BOS,W5-4,CG(10),4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.215,.297,.402,.700,3,1.40,-0.079,1.17,-0.04%,-0.57,2.00,3.50,SS
