Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
93,1475,127,Aug 23,PHI,,SFG,L6-8,CG(10),5,4,1,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,.299,.392,.468,.860,3,1.52,0.467,1.31,0.24%,2.11,23.00,31.70,DH
94,1476,128,Aug 25,PHI,,STL,W7-2,CG,4,4,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,.301,.393,.474,.867,3,.87,0.010,.80,0.01%,0.58,15.00,18.40,DH
95,1477,129,Aug 26,PHI,,STL,W12-1,CG,5,4,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.306,.398,.480,.878,3,.71,0.202,.55,0.09%,2.65,19.00,25.20,DH
96,1478,130,Aug 27,PHI,,STL,W3-0,CG,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.306,.399,.479,.878,4,.76,0.040,.48,0.02%,0.76,7.00,9.50,DH
97,1479,131,Aug 28,PHI,,LAA,W6-4,CG,4,3,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,.307,.400,.486,.886,3,.82,0.196,.48,0.07%,1.50,18.00,25.20,1B
98,1480,132,Aug 29,PHI,,LAA,W12-7,CG,5,4,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,.309,.402,.497,.899,4,1.05,0.239,.47,0.06%,1.61,23.00,30.90,DH
99,1481,133,Aug 30,PHI,,LAA,L8-10,CG,5,4,1,1,0,0,1,2,1,0,1,0,0,0,0,1,0,0,.308,.402,.503,.905,3,1.31,0.515,.53,0.12%,1.03,18.00,25.20,1B
100,1482,134,Sep 1,PHI,@,MIL,L5-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.305,.398,.497,.895,3,.78,-0.080,.34,-0.02%,-0.76,0.00,0.00,1B
101,1483,135,Sep 2,PHI,@,MIL,L5-7,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.302,.395,.492,.887,3,.65,-0.012,.36,0.00%,0.16,0.00,0.00,DH
102,1484,136,Sep 3,PHI,@,MIL,W4-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.298,.391,.487,.878,4,1.48,-0.165,.93,-0.06%,-1.35,0.00,0.00,DH
