Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
56,785,110,Aug 4,NYY,,HOU,L3-7,7-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.289,.410,.649,1.060,9,1.11,-0.025,.91,-0.01%,-0.49,0.00,0.00,PH
57,786,111,Aug 5,NYY,,HOU,W3-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.283,.403,.636,1.040,2,.75,-0.078,.51,-0.03%,-0.82,0.00,0.00,RF
58,787,112,Aug 6,NYY,,HOU,L7-9,CG,6,4,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,.277,.402,.624,1.025,2,1.63,0.036,1.24,0.02%,0.44,6.00,9.50,DH
59,788,113,Aug 7,NYY,@,CHW,L1-5,CG,5,4,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.282,.406,.626,1.032,2,.89,0.076,.43,0.02%,0.99,12.00,15.20,RF
60,789,114,Aug 8,NYY,@,CHW,W7-1,CG,5,2,1,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0,.284,.413,.639,1.053,2,.64,0.021,.28,0.01%,1.45,20.00,27.70,DH
61,790,115,Aug 9,NYY,@,CHW,L2-9,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.284,.414,.635,1.050,2,1.06,-0.054,.53,-0.02%,-0.52,7.00,9.20,RF
62,791,116,Aug 11,NYY,@,MIA,W9-4,CG,5,3,1,1,0,0,1,1,2,0,2,0,0,0,0,0,0,0,.285,.418,.645,1.063,2,.54,0.091,.21,0.02%,0.45,18.00,24.70,DH
63,792,117,Aug 12,NYY,@,MIA,L1-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.284,.415,.638,1.053,2,.67,-0.031,.31,-0.01%,-0.26,3.00,3.00,RF
64,793,118,Aug 13,NYY,@,MIA,L7-8,CG,5,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.281,.415,.629,1.044,2,.38,0.024,.16,0.01%,0.13,6.00,9.20,RF
65,794,119,Aug 14,NYY,@,ATL,L3-11,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.284,.416,.627,1.043,2,.65,0.059,.22,0.01%,0.98,6.00,6.00,DH
